PopulationDensity,PublicTransportAvailability,AverageCommuteDistance,NumberOfVehicles,TrafficCongestionLevel
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7
1000,8,10,50000,7
2000,6,15,75000,8
1500,7,12,60000,7

